Method,repeated_times,Accuracy,Precision,Recall,F1,AUC,Average Score,Time,CV_list(AUC)
SVM + TF-IDF,1,0.8950201884253028,0.8402312563090759,0.7758146109209939,0.8021831735889244,0.7758146109209939,0.8178127680330582,67.67905521392822,[np.float64(0.7758146109209939)]
SVM + TF-IDF,1,0.8950201884253028,0.8402312563090759,0.7758146109209939,0.8021831735889244,0.7758146109209939,0.8178127680330582,66.63244104385376,[np.float64(0.7758146109209939)]
SVM + TF-IDF,1,0.8950201884253028,0.8402312563090759,0.7758146109209939,0.8021831735889244,0.7758146109209939,0.8178127680330582,64.76542162895203,[np.float64(0.7758146109209939)]
SVM + TF-IDF,1,0.8950201884253028,0.8402312563090759,0.7758146109209939,0.8021831735889244,0.7758146109209939,0.8178127680330582,76.08099937438965,[np.float64(0.7758146109209939)]
SVM + TF-IDF,1,0.8950201884253028,0.8402312563090759,0.7758146109209939,0.8021831735889244,0.7758146109209939,0.8178127680330582,77.17467522621155,[np.float64(0.7758146109209939)]
SVM + TF-IDF,1,0.8950201884253028,0.8402312563090759,0.7758146109209939,0.8021831735889244,0.7758146109209939,0.8178127680330582,77.39300441741943,[np.float64(0.7758146109209939)]
