Method,Project,repeated_times,Accuracy,Precision,Recall,F1,AUC,Average Score,Time,CV_list(AUC)
Baseline,pytorch,30,0.6406181015452538,0.613395432339462,0.7572401012890487,0.566318880205258,0.7572401012890487,0.6669625233336143,0.41947198708852135,"[np.float64(0.7692147034252297), np.float64(0.7391114982578397), np.float64(0.7303435114503818), np.float64(0.7254578754578755), np.float64(0.7249015748031495), np.float64(0.7695094760312152), np.float64(0.7504389815627743), np.float64(0.6939792663476874), np.float64(0.7263993316624896), np.float64(0.8161764705882353), np.float64(0.7947761194029851), np.float64(0.7909722222222222), np.float64(0.7286259541984732), np.float64(0.7647058823529411), np.float64(0.7036645525017619), np.float64(0.7316576086956521), np.float64(0.7527151211361738), np.float64(0.7851049868766403), np.float64(0.7789363920750783), np.float64(0.7729741019214703), np.float64(0.7961538461538462), np.float64(0.7608058608058608), np.float64(0.7604916067146282), np.float64(0.8138686131386861), np.float64(0.7869963369963371), np.float64(0.7695238095238095), np.float64(0.7091535433070865), np.float64(0.7729741019214703), np.float64(0.763425925925926), np.float64(0.7341437632135307)]"
SVM + TF-IDF,pytorch,30,0.8920529801324503,0.7596026217503605,0.7200594507147037,0.7320039360100773,0.7200594507147037,0.764755687864459,4.189585884412129,"[np.float64(0.8107769423558897), np.float64(0.7215447154471545), np.float64(0.6847328244274808), np.float64(0.715018315018315), np.float64(0.6768372703412074), np.float64(0.6633221850613155), np.float64(0.767998244073749), np.float64(0.7366427432216905), np.float64(0.6328320802005012), np.float64(0.7556372549019607), np.float64(0.8819139596136962), np.float64(0.6303240740740741), np.float64(0.7444656488549618), np.float64(0.7372549019607841), np.float64(0.7383720930232558), np.float64(0.8282948369565217), np.float64(0.7679615705931495), np.float64(0.7134186351706037), np.float64(0.6676225234619395), np.float64(0.6681286549707602), np.float64(0.6789377289377289), np.float64(0.6712454212454212), np.float64(0.8426258992805755), np.float64(0.7565172054223148), np.float64(0.675824175824176), np.float64(0.6241269841269842), np.float64(0.6886482939632547), np.float64(0.7161654135338346), np.float64(0.6928240740740741), np.float64(0.711768851303735)]"
